Plot_ID,Date,Sample_ID_MCSP3,LA,LW_fresh,LW_dry,LW_difference,notes
T7_R5_D1_F_1a,7/13/2021,MCSP_1_1g,3.6,0.0811,0.021,0.0601,
T7_R5_D1_F_1a,7/13/2021,MCSP_1_2g,4,0.0837,0.018,0.0657,
T7_R5_D1_F_1a,7/13/2021,MCSP_1_3g,3.4,0.0882,0.0253,0.0629,
T7_R5_D1_C_1c,7/13/2021,MCSP_2_1g,3.7,0.0898,0.0231,0.0667,
T7_R5_D1_C_1c,7/13/2021,MCSP_2_2g,5.4,0.1348,0.0328,0.102,
T7_R5_D1_C_1c,7/13/2021,MCSP_2_3g,3.4,0.0802,0.0161,0.0641,
T7_R5_D1_N_1d,7/13/2021,MCSP_3_1g,4.3,0.1061,0.0243,0.0818,
T7_R5_D1_N_1d,7/13/2021,MCSP_3_2g,7.2,0.1389,0.0253,0.1136,
T7_R5_D1_N_1d,7/13/2021,MCSP_3_3g,5.8,0.1326,0.0322,0.1004,
T7_R5_IR_N_2b,7/13/2021,MCSP_4_1g,5.5,0.1247,0.0256,0.0991,
T7_R5_IR_N_2b,7/13/2021,MCSP_4_2g,5.8,0.1333,0.0389,0.0944,
T7_R5_IR_N_2b,7/13/2021,MCSP_4_3g,6.6,0.1317,0.0295,0.1022,
T7_R5_IR_F_2c,7/13/2021,MCSP_5_1g,5.3,0.1202,0.0291,0.0911,
T7_R5_IR_F_2c,7/13/2021,MCSP_5_2g,5.6,0.1316,0.0297,0.1019,
T7_R5_IR_F_2c,7/13/2021,MCSP_5_3g,6.7,0.1444,0.036,0.1084,
T7_R5_IR_C_2d,7/13/2021,MCSP_6_1g,4.3,0.1168,0.0278,0.089,
T7_R5_IR_C_2d,7/13/2021,MCSP_6_2g,3.7,0.0682,0.0162,0.052,
T7_R5_IR_C_2d,7/13/2021,MCSP_6_3g,4,0.0834,0.0194,0.064,
T7_R5_VR_C_7a,7/13/2021,MCSP_7_1g,3.8,0.095,0.0234,0.0716,
T7_R5_VR_C_7a,7/13/2021,MCSP_7_2g,4.5,0.1301,0.0431,0.087,
T7_R5_VR_C_7a,7/13/2021,MCSP_7_3g,3,0.0843,0.0197,0.0646,
T7_R5_VR_N_7b,7/13/2021,MCSP_8_1g,3.7,0.0783,0.0185,0.0598,
T7_R5_VR_N_7b,7/13/2021,MCSP_8_2g,6,0.1471,0.0353,0.1118,
T7_R5_VR_N_7b,7/13/2021,MCSP_8_3g,4.5,0.0939,0.0228,0.0711,
T7_R5_VR_F_7c,7/13/2021,MCSP_9_1g,5,0.1378,0.0353,0.1025,
T7_R5_VR_F_7c,7/13/2021,MCSP_9_2g,3.8,0.0939,0.0293,0.0646,
T7_R5_VR_F_7c,7/13/2021,MCSP_9_3g,4.4,0.103,0.0271,0.0759,
T7_R1_IR_N_2b,7/13/2021,MCSP_10_1g,4.8,0.1085,0.0246,0.0839,
T7_R1_IR_N_2b,7/13/2021,MCSP_10_2g,2.6,0.0655,0.0189,0.0466,
T7_R1_IR_N_2b,7/13/2021,MCSP_10_3g,3.1,0.0666,0.0134,0.6526,
T7_R1_IR_F_2c,7/13/2021,MCSP_11_1g,6,0.1221,0.0268,0.0953,
T7_R1_IR_F_2c,7/13/2021,MCSP_11_2g,6.7,0.1779,0.056,0.1219,
T7_R1_IR_F_2c,7/13/2021,MCSP_11_3g,5,0.0856,0.0187,0.0669,
T7_R1_IR_C_2d,7/13/2021,MCSP_12_1g,5.4,0.1402,0.0468,0.0934,
T7_R1_IR_C_2d,7/13/2021,MCSP_12_2g,5.9,0.1159,0.0288,0.0871,
T7_R1_IR_C_2d,7/13/2021,MCSP_12_3g,6,0.124,0.0292,0.0948,
T7_R1_D1_C_4b,7/13/2021,MCSP_13_1g,6.1,0.1513,0.034,0.1173,
