Sample_ID,Date,Plot_ID,PLHE_red1,PLHE_red2,PLHE_red3,PLHE_golden1,PLHE_golden2 ,PLHE_golden3,Flower_Num,FC_perc,GC_perc,Comments 
MCSP_1,7/7/2021,T7_R5_D1_F_1a,46.4,53.5,48.5,33.4,39.9,43.3,46,3,1,
MCSP_2,7/7/2021,T7_R5_D1_C_1c,44.5,46.5,46.5,51.1,50.9,51.2,40,2,0.5,
MCSP_3,7/7/2021,T7_R5_D1_N_1d,65.4,54.5,30.5,60.4,49.5,42.5,25,1,0.5,
MCSP_4,7/7/2021,T7_R5_IR_N_2b,33.5,29,55.9,30.8,60.5,44.1,48,1.5,3.5,
MCSP_5,7/7/2021,T7_R5_IR_F_2c,46.4,40.6,30.3,58.6,57.5,39.4,140,5,6,
MCSP_6,7/7/2021,T7_R5_IR_C_2d,64.5,32.4,48.6,63.4,50.6,43.7,257,7,1,
MCSP_7,7/7/2021,T7_R5_VR_C_7a,26.3,24,38.6,49.7,36.1,25,32,3,8,
MCSP_8,7/7/2021,T7_R5_VR_N_7b,23.1,26.6,22.6,35.5,36.6,34.7,83,2,3.5,
MCSP_9,7/7/2021,T7_R5_VR_F_7c,41.2,26.3,34.9,38.3,49.7,48.4,33,1.5,6.5,
MCSP_10,7/7/2021,T7_R1_IR_N_2b,43.2,43.4,31.1,60.7,49.1,37.6,42,1.5,6,
MCSP_11,7/7/2021,T7_R1_IR_F_2c,27.3,26.9,30.6,43.4,50.3,47.6,48,2,6,
MCSP_12,7/7/2021,T7_R1_IR_C_2d,36,39.6,51.5,40.1,50.4,44.6,29,1.5,3,
MCSP_13,7/7/2021,T7_R1_D1_C_4b,47.3,52.9,40.2,52.6,54.4,49.9,78,4,0,
MCSP_14,7/7/2021,T7_R1_D1_N_4c,64.9,57.3,37.3,50.3,51.8,56.2,33,3,0.5,
MCSP_15,7/7/2021,T7_R1_D1_F_4d,49.2,67,44.6,75.9,73.5,77.3,27,2,1,
MCSP_16,7/7/2021,T7_R1_VR_F_5b,41.4,53.1,41.6,45.5,61.4,76.1,11,1,4.5,
MCSP_17,7/7/2021,T7_R1_VR_C_5c,44.6,53.8,47.4,47.9,54.9,58.1,65,3,3.5,
MCSP_18,7/7/2021,T7_R1_VR_N_5d,44.4,52,57.8,49.6,62.5,56.2,33,1.5,3,
MCSP_19,7/7/2021,T7_R3_VR_C_1a,57.2,46.5,37.5,47.9,49.9,56.7,36,1.5,2,
MCSP_20,7/7/2021,T7_R3_VR_F_1b,31.6,45.1,33.9,43.1,43.9,41.8,25,1,5.5,
MCSP_21,7/7/2021,T7_R3_VR_N_1d,41.8,54.5,56.6,47.9,54.1,44.6,24,0.7,4,
MCSP_22,7/7/2021,T7_R3_IR_C_6a,40.4,51.4,45.5,49,54.3,54.4,21,1,0.5,
MCSP_23,7/7/2021,T7_R3_IR_N_6b,37.8,53.5,50.2,44.1,51.3,42.1,29,1.5,2,
MCSP_24,7/7/2021,T7_R3_IR_F_6c,33.8,33.1,25.6,55.2,57.6,47.3,29,0.6,3.5,
MCSP_25,7/7/2021,T7_R3_D1_F_7b,29.7,54.4,33.4,77.6,65.5,49.6,64,2,0,
MCSP_26,7/7/2021,T7_R3_D1_C_7c,42.4,32.1,31.4,52.2,53.2,48.5,64,1.5,3.5,
MCSP_27,7/7/2021,T7_R3_D1_N_7d,40.4,30.4,46,42.5,47.5,49.3,38,2,6.5,
MCSP_28,7/7/2021,T7_R4_IR_C_3a,46.5,51,51.8,53.1,54.4,57.9,62,2.5,1,
MCSP_29,7/7/2021,T7_R4_IR_F_3b,52.4,33.4,40.4,47.8,71.6,53.3,226,3.5,2,
MCSP_30,7/7/2021,T7_R4_IR_N_3c,48.8,47.6,51.7,36.5,48.1,57,26,1,3.5,
MCSP_31,7/7/2021,T7_R4_D1_C_5a,33.6,44.4,37.4,39.3,63.6,46.8,74,1,0.3,
MCSP_32,7/7/2021,T7_R4_D1_F_5c,40.5,47.9,32.5,42.8,56.4,41.4,150,2.5,0.5,
MCSP_33,7/7/2021,T7_R4_D1_N_5d,39.5,59.3,35.2,42.8,43.2,47.9,159,2.3,0,
MCSP_34,7/7/2021,T7_R4_VR_N_7b,29.6,30.4,41.5,38.1,56,59.1,57,1.5,9.5,
MCSP_35,7/7/2021,T7_R4_VR_C_7c,36.9,24.9,26.1,52.5,45.1,47,114,2,9.5,
MCSP_36,7/7/2021,T7_R4_VR_F_7d,40.4,30.4,47.6,59.6,46.5,63.6,129,2.5,3.5,
MCSP_37,7/7/2021,T7_R2_D1_F_1a,50.9,36.4,36.5,44.9,45.7,40.6,14,1,3,
MCSP_38,7/7/2021,T7_R2_D1_N_1b,54.5,46.8,37.9,47.3,47.1,63.1,37,1,1,
MCSP_39,7/7/2021,T7_R2_D1_C_1c,51.2,34.5,55.5,47.5,47.9,65.4,37,1,2.5,
MCSP_40,7/7/2021,T7_R2_VR_F_3a,54.5,40.6,37.9,37.2,55.5,64.5,103,2.5,3.5,
MCSP_41,7/7/2021,T7_R2_VR_N_3b,48.3,52.1,52.5,56.4,43.5,58.9,30,0.5,5,
MCSP_42,7/7/2021,T7_R2_VR_C_3c,36.7,26.9,33.2,54.8,53.8,57.3,13,0.5,1.5,
MCSP_43,7/7/2021,T7_R2_IR_F_4a,47.1,30.5,43.1,69.5,54.4,52.5,63,1.5,1,
MCSP_44,7/7/2021,T7_R2_IR_C_4c,44.4,55.3,35.2,54.5,67.1,51.5,31,1.5,3,
MCSP_45,7/7/2021,T7_R2_IR_N_4d,33.9,31.1,37.8,63.1,44.1,52.3,21,0.5,5.5,
MCSP_46,7/7/2021,T7_R6_IR_F_4b,39.3,27.2,28.1,NA,NA,NA,86,25,3,
MCSP_47,7/7/2021,T7_R6_IR_N_4c,27.9,38.1,22.6,48.1,54.5,47.6,126,3,17,
MCSP_48,7/7/2021,T7_R6_IR_C_4d,27.9,31.8,34.4,60,62.1,54.3,93,2.5,3,
MCSP_49,7/7/2021,T7_R6_VR_N_5b,46.5,62.1,41.3,63.9,64.9,52.4,33,2,2,
MCSP_50,7/7/2021,T7_R6_VR_F_5c,42.9,54.6,40.5,58.4,58.6,63.8,24,1,4,
MCSP_51,7/7/2021,T7_R6_VR_C_5d,69.4,31.3,54.9,50.4,66.8,51.2,53,2.5,4.5,
MCSP_52,7/7/2021,T7_R6_D1_N_6a,29.4,29.8,46.7,50.1,49.6,79.6,41,1.5,12,
