Plot_ID,Date,Sample_ID_MCSP3,LA,LW_fresh,LW_dry,LW_difference,notes
T7_R5_D1_F_1a,7/13/2021,MCSP_1_1r,14.7,0.1763,0.0348,0.1415,
T7_R5_D1_F_1a,7/13/2021,MCSP_1_2r,14,0.2336,0.0616,0.172,
T7_R5_D1_F_1a,7/13/2021,MCSP_1_3r,21.2,0.2775,0.0503,0.2272,
T7_R5_D1_C_1c,7/13/2021,MCSP_2_1r,11,0.2013,0.0474,0.1539,
T7_R5_D1_C_1c,7/13/2021,MCSP_2_2r,17,0.2307,0.0515,0.1792,
T7_R5_D1_C_1c,7/13/2021,MCSP_2_3r,8.5,0.1261,0.024,0.1021,
T7_R5_D1_N_1d,7/13/2021,MCSP_3_1r,11.9,0.1486,0.0308,0.1178,
T7_R5_D1_N_1d,7/13/2021,MCSP_3_2r,15.4,0.2411,0.0509,0.1902,
T7_R5_D1_N_1d,7/13/2021,MCSP_3_3r,20.4,0.3041,0.0548,0.2493,
T7_R5_IR_N_2b,7/13/2021,MCSP_4_1r,9.2,0.1338,0.0238,0.11,
T7_R5_IR_N_2b,7/13/2021,MCSP_4_2r,12.7,0.1309,0.0245,0.1064,
T7_R5_IR_N_2b,7/13/2021,MCSP_4_3r,20.5,0.2791,0.0479,0.2312,
T7_R5_IR_F_2c,7/13/2021,MCSP_5_1r,15.8,0.1788,0.027,0.1518,
T7_R5_IR_F_2c,7/13/2021,MCSP_5_2r,16.1,0.2153,0.0426,0.1727,
T7_R5_IR_F_2c,7/13/2021,MCSP_5_3r,13.6,0.2105,0.0365,0.174,
T7_R5_IR_C_2d,7/13/2021,MCSP_6_1r,23.1,0.3813,0.081,0.3003,
T7_R5_IR_C_2d,7/13/2021,MCSP_6_2r,14.7,0.179,0.0333,0.1457,
T7_R5_IR_C_2d,7/13/2021,MCSP_6_3r,24.4,0.326,0.059,0.267,
T7_R5_VR_C_7a,7/13/2021,MCSP_7_1r,13.9,0.2225,0.0398,0.1827,
T7_R5_VR_C_7a,7/13/2021,MCSP_7_2r,11.3,0.1623,0.0321,0.1302,
T7_R5_VR_C_7a,7/13/2021,MCSP_7_3r,12.9,0.1689,0.0363,0.1326,
